"SCENARIO_NAME","SCENARIO_BARLEY_PRICE","SCENARIO_HOPS_PRICE","PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","RETAIL_PRICE","BASELINE_COGS","SCENARIO_COGS","COGS_INCREASE_PCT","BASELINE_MARGIN_PCT","SCENARIO_MARGIN_PCT","MARGIN_EROSION_PCT","PRICING_ACTION","RECOMMENDED_PRICE"
"Extreme (+75%)",9.63,7.35,"BEER-001031","Demo Beer Product #31","BEER",33.74,22.80,28.22,23.8,32.4,16.4,16.1,"FULL_REPRICE",38.35
"High Stress (+30%)",7.15,5.46,"BEER-001031","Demo Beer Product #31","BEER",33.74,22.80,24.97,9.5,32.4,26.0,6.4,"PARTIAL_PASS_THROUGH",35.04
"Baseline",5.50,4.20,"BEER-001032","Demo Beer Product #32","BEER",32.31,25.45,25.45,0.0,21.2,21.2,0.0,"ABSORB",32.31
"Crisis (+50%)",8.25,6.30,"BEER-001032","Demo Beer Product #32","BEER",32.31,25.45,29.64,16.5,21.2,8.3,13.0,"PARTIAL_PASS_THROUGH",34.82
"Moderate (+15%)",6.33,4.83,"BEER-001032","Demo Beer Product #32","BEER",32.31,25.45,26.71,5.0,21.2,17.3,3.9,"ABSORB",32.31
"Extreme (+75%)",9.63,7.35,"BEER-001032","Demo Beer Product #32","BEER",32.31,25.45,31.74,24.7,21.2,1.8,19.5,"FULL_REPRICE",37.65
"High Stress (+30%)",7.15,5.46,"BEER-001032","Demo Beer Product #32","BEER",32.31,25.45,27.96,9.9,21.2,13.5,7.8,"PARTIAL_PASS_THROUGH",33.82
"Baseline",5.50,4.20,"BEER-001033","Demo Beer Product #33","BEER",36.82,25.96,25.96,0.0,29.5,29.5,0.0,"ABSORB",36.82
"Crisis (+50%)",8.25,6.30,"BEER-001033","Demo Beer Product #33","BEER",36.82,25.96,30.28,16.6,29.5,17.8,11.7,"PARTIAL_PASS_THROUGH",39.41
"Moderate (+15%)",6.33,4.83,"BEER-001033","Demo Beer Product #33","BEER",36.82,25.96,27.26,5.0,29.5,26.0,3.5,"ABSORB",36.82
"Extreme (+75%)",9.63,7.35,"BEER-001033","Demo Beer Product #33","BEER",36.82,25.96,32.44,25.0,29.5,11.9,17.6,"FULL_REPRICE",42.33
"High Stress (+30%)",7.15,5.46,"BEER-001033","Demo Beer Product #33","BEER",36.82,25.96,28.55,10.0,29.5,22.5,7.0,"PARTIAL_PASS_THROUGH",38.37
"Baseline",5.50,4.20,"BEER-001034","Demo Beer Product #34","BEER",35.80,22.53,22.53,0.0,37.1,37.1,0.0,"ABSORB",35.80
"Crisis (+50%)",8.25,6.30,"BEER-001034","Demo Beer Product #34","BEER",35.80,22.53,26.74,18.7,37.1,25.3,11.8,"FULL_REPRICE",39.38
"Moderate (+15%)",6.33,4.83,"BEER-001034","Demo Beer Product #34","BEER",35.80,22.53,23.80,5.6,37.1,33.5,3.5,"ABSORB",35.80
"Extreme (+75%)",9.63,7.35,"BEER-001034","Demo Beer Product #34","BEER",35.80,22.53,28.85,28.0,37.1,19.4,17.6,"FULL_REPRICE",41.17
"High Stress (+30%)",7.15,5.46,"BEER-001034","Demo Beer Product #34","BEER",35.80,22.53,25.06,11.2,37.1,30.0,7.1,"PARTIAL_PASS_THROUGH",37.31
"Baseline",5.50,4.20,"BEER-001035","Demo Beer Product #35","BEER",35.04,23.31,23.31,0.0,33.5,33.5,0.0,"ABSORB",35.04
"Crisis (+50%)",8.25,6.30,"BEER-001035","Demo Beer Product #35","BEER",35.04,23.31,27.26,16.9,33.5,22.2,11.3,"PARTIAL_PASS_THROUGH",37.41
"Moderate (+15%)",6.33,4.83,"BEER-001035","Demo Beer Product #35","BEER",35.04,23.31,24.50,5.1,33.5,30.1,3.4,"ABSORB",35.04
"Extreme (+75%)",9.63,7.35,"BEER-001035","Demo Beer Product #35","BEER",35.04,23.31,29.24,25.4,33.5,16.6,16.9,"FULL_REPRICE",40.08
"High Stress (+30%)",7.15,5.46,"BEER-001035","Demo Beer Product #35","BEER",35.04,23.31,25.68,10.2,33.5,26.7,6.8,"PARTIAL_PASS_THROUGH",36.46
"Baseline",5.50,4.20,"BEER-001036","Demo Beer Product #36","BEER",32.29,22.57,22.57,0.0,30.1,30.1,0.0,"ABSORB",32.29
"Crisis (+50%)",8.25,6.30,"BEER-001036","Demo Beer Product #36","BEER",32.29,22.57,25.87,14.7,30.1,19.9,10.2,"PARTIAL_PASS_THROUGH",34.27
"Moderate (+15%)",6.33,4.83,"BEER-001036","Demo Beer Product #36","BEER",32.29,22.57,23.56,4.4,30.1,27.0,3.1,"ABSORB",32.29
"Extreme (+75%)",9.63,7.35,"BEER-001036","Demo Beer Product #36","BEER",32.29,22.57,27.53,22.0,30.1,14.7,15.4,"FULL_REPRICE",36.51
"High Stress (+30%)",7.15,5.46,"BEER-001036","Demo Beer Product #36","BEER",32.29,22.57,24.55,8.8,30.1,24.0,6.1,"PARTIAL_PASS_THROUGH",33.48
"Baseline",5.50,4.20,"BEER-001037","Demo Beer Product #37","BEER",33.74,25.32,25.32,0.0,24.9,24.9,0.0,"ABSORB",33.74
"Crisis (+50%)",8.25,6.30,"BEER-001037","Demo Beer Product #37","BEER",33.74,25.32,29.24,15.5,24.9,13.3,11.6,"PARTIAL_PASS_THROUGH",36.09
"Moderate (+15%)",6.33,4.83,"BEER-001037","Demo Beer Product #37","BEER",33.74,25.32,26.50,4.7,24.9,21.4,3.5,"ABSORB",33.74
"Extreme (+75%)",9.63,7.35,"BEER-001037","Demo Beer Product #37","BEER",33.74,25.32,31.21,23.2,24.9,7.5,17.4,"FULL_REPRICE",38.74
"High Stress (+30%)",7.15,5.46,"BEER-001037","Demo Beer Product #37","BEER",33.74,25.32,27.67,9.3,24.9,18.0,7.0,"PARTIAL_PASS_THROUGH",35.15
"Baseline",5.50,4.20,"BEER-001038","Demo Beer Product #38","BEER",31.06,21.50,21.50,0.0,30.8,30.8,0.0,"ABSORB",31.06
"Crisis (+50%)",8.25,6.30,"BEER-001038","Demo Beer Product #38","BEER",31.06,21.50,25.08,16.6,30.8,19.3,11.5,"PARTIAL_PASS_THROUGH",33.21
"Moderate (+15%)",6.33,4.83,"BEER-001038","Demo Beer Product #38","BEER",31.06,21.50,22.58,5.0,30.8,27.3,3.5,"ABSORB",31.06
"Extreme (+75%)",9.63,7.35,"BEER-001038","Demo Beer Product #38","BEER",31.06,21.50,26.87,25.0,30.8,13.5,17.3,"FULL_REPRICE",35.62
"High Stress (+30%)",7.15,5.46,"BEER-001038","Demo Beer Product #38","BEER",31.06,21.50,23.65,10.0,30.8,23.9,6.9,"PARTIAL_PASS_THROUGH",32.35
"Baseline",5.50,4.20,"BEER-001039","Demo Beer Product #39","BEER",36.54,23.60,23.60,0.0,35.4,35.4,0.0,"ABSORB",36.54
"Crisis (+50%)",8.25,6.30,"BEER-001039","Demo Beer Product #39","BEER",36.54,23.60,27.73,17.5,35.4,24.1,11.3,"PARTIAL_PASS_THROUGH",39.02
"Moderate (+15%)",6.33,4.83,"BEER-001039","Demo Beer Product #39","BEER",36.54,23.60,24.85,5.3,35.4,32.0,3.4,"ABSORB",36.54
"Extreme (+75%)",9.63,7.35,"BEER-001039","Demo Beer Product #39","BEER",36.54,23.60,29.80,26.3,35.4,18.4,17.0,"FULL_REPRICE",41.81
"High Stress (+30%)",7.15,5.46,"BEER-001039","Demo Beer Product #39","BEER",36.54,23.60,26.08,10.5,35.4,28.6,6.8,"PARTIAL_PASS_THROUGH",38.03
"Baseline",5.50,4.20,"BEER-001040","Demo Beer Product #40","BEER",34.75,22.66,22.66,0.0,34.8,34.8,0.0,"ABSORB",34.75
"Crisis (+50%)",8.25,6.30,"BEER-001040","Demo Beer Product #40","BEER",34.75,22.66,26.36,16.3,34.8,24.1,10.7,"PARTIAL_PASS_THROUGH",36.97
"Moderate (+15%)",6.33,4.83,"BEER-001040","Demo Beer Product #40","BEER",34.75,22.66,23.78,4.9,34.8,31.6,3.2,"ABSORB",34.75
"Extreme (+75%)",9.63,7.35,"BEER-001040","Demo Beer Product #40","BEER",34.75,22.66,28.22,24.5,34.8,18.8,16.0,"FULL_REPRICE",39.48
"High Stress (+30%)",7.15,5.46,"BEER-001040","Demo Beer Product #40","BEER",34.75,22.66,24.88,9.8,34.8,28.4,6.4,"PARTIAL_PASS_THROUGH",36.08
"Baseline",5.50,4.20,"BEER-001041","Demo Beer Product #41","BEER",36.42,24.91,24.91,0.0,31.6,31.6,0.0,"ABSORB",36.42
"Crisis (+50%)",8.25,6.30,"BEER-001041","Demo Beer Product #41","BEER",36.42,24.91,29.02,16.5,31.6,20.3,11.3,"PARTIAL_PASS_THROUGH",38.89
"Moderate (+15%)",6.33,4.83,"BEER-001041","Demo Beer Product #41","BEER",36.42,24.91,26.15,5.0,31.6,28.2,3.4,"ABSORB",36.42
"Extreme (+75%)",9.63,7.35,"BEER-001041","Demo Beer Product #41","BEER",36.42,24.91,31.08,24.8,31.6,14.7,16.9,"FULL_REPRICE",41.66
"High Stress (+30%)",7.15,5.46,"BEER-001041","Demo Beer Product #41","BEER",36.42,24.91,27.38,9.9,31.6,24.8,6.8,"PARTIAL_PASS_THROUGH",37.90
"Baseline",5.50,4.20,"BEER-001042","Demo Beer Product #42","BEER",35.80,21.55,21.55,0.0,39.8,39.8,0.0,"ABSORB",35.80
"Crisis (+50%)",8.25,6.30,"BEER-001042","Demo Beer Product #42","BEER",35.80,21.55,25.16,16.7,39.8,29.7,10.1,"PARTIAL_PASS_THROUGH",37.97
"Moderate (+15%)",6.33,4.83,"BEER-001042","Demo Beer Product #42","BEER",35.80,21.55,22.63,5.0,39.8,36.8,3.0,"ABSORB",35.80
"Extreme (+75%)",9.63,7.35,"BEER-001042","Demo Beer Product #42","BEER",35.80,21.55,26.96,25.1,39.8,24.7,15.1,"FULL_REPRICE",40.40
"High Stress (+30%)",7.15,5.46,"BEER-001042","Demo Beer Product #42","BEER",35.80,21.55,23.71,10.0,39.8,33.8,6.0,"PARTIAL_PASS_THROUGH",37.10
"Baseline",5.50,4.20,"BEER-001043","Demo Beer Product #43","BEER",35.90,22.11,22.11,0.0,38.4,38.4,0.0,"ABSORB",35.90
"Crisis (+50%)",8.25,6.30,"BEER-001043","Demo Beer Product #43","BEER",35.90,22.11,25.94,17.4,38.4,27.7,10.7,"PARTIAL_PASS_THROUGH",38.20
"Moderate (+15%)",6.33,4.83,"BEER-001043","Demo Beer Product #43","BEER",35.90,22.11,23.26,5.2,38.4,35.2,3.2,"ABSORB",35.90
"Extreme (+75%)",9.63,7.35,"BEER-001043","Demo Beer Product #43","BEER",35.90,22.11,27.87,26.1,38.4,22.4,16.0,"FULL_REPRICE",40.80
"High Stress (+30%)",7.15,5.46,"BEER-001043","Demo Beer Product #43","BEER",35.90,22.11,24.41,10.4,38.4,32.0,6.4,"PARTIAL_PASS_THROUGH",37.28
"Baseline",5.50,4.20,"BEER-001044","Demo Beer Product #44","BEER",32.42,21.24,21.24,0.0,34.5,34.5,0.0,"ABSORB",32.42
"Crisis (+50%)",8.25,6.30,"BEER-001044","Demo Beer Product #44","BEER",32.42,21.24,24.59,15.8,34.5,24.2,10.3,"PARTIAL_PASS_THROUGH",34.43
"Moderate (+15%)",6.33,4.83,"BEER-001044","Demo Beer Product #44","BEER",32.42,21.24,22.25,4.7,34.5,31.4,3.1,"ABSORB",32.42
"Extreme (+75%)",9.63,7.35,"BEER-001044","Demo Beer Product #44","BEER",32.42,21.24,26.26,23.7,34.5,19.0,15.5,"FULL_REPRICE",36.69
"High Stress (+30%)",7.15,5.46,"BEER-001044","Demo Beer Product #44","BEER",32.42,21.24,23.25,9.5,34.5,28.3,6.2,"PARTIAL_PASS_THROUGH",33.63
"Baseline",5.50,4.20,"BEER-001045","Demo Beer Product #45","BEER",37.29,25.09,25.09,0.0,32.7,32.7,0.0,"ABSORB",37.29
"Crisis (+50%)",8.25,6.30,"BEER-001045","Demo Beer Product #45","BEER",37.29,25.09,29.08,15.9,32.7,22.0,10.7,"PARTIAL_PASS_THROUGH",39.68
"Moderate (+15%)",6.33,4.83,"BEER-001045","Demo Beer Product #45","BEER",37.29,25.09,26.29,4.8,32.7,29.5,3.2,"ABSORB",37.29
"Extreme (+75%)",9.63,7.35,"BEER-001045","Demo Beer Product #45","BEER",37.29,25.09,31.07,23.8,32.7,16.7,16.0,"FULL_REPRICE",42.38
"High Stress (+30%)",7.15,5.46,"BEER-001045","Demo Beer Product #45","BEER",37.29,25.09,27.48,9.5,32.7,26.3,6.4,"PARTIAL_PASS_THROUGH",38.72
"Baseline",5.50,4.20,"BEER-001046","Demo Beer Product #46","BEER",37.87,22.64,22.64,0.0,40.2,40.2,0.0,"ABSORB",37.87
"Crisis (+50%)",8.25,6.30,"BEER-001046","Demo Beer Product #46","BEER",37.87,22.64,26.75,18.1,40.2,29.4,10.8,"FULL_REPRICE",41.36
"Moderate (+15%)",6.33,4.83,"BEER-001046","Demo Beer Product #46","BEER",37.87,22.64,23.88,5.5,40.2,36.9,3.3,"ABSORB",37.87
"Extreme (+75%)",9.63,7.35,"BEER-001046","Demo Beer Product #46","BEER",37.87,22.64,28.80,27.2,40.2,23.9,16.3,"FULL_REPRICE",43.10
"High Stress (+30%)",7.15,5.46,"BEER-001046","Demo Beer Product #46","BEER",37.87,22.64,25.11,10.9,40.2,33.7,6.5,"PARTIAL_PASS_THROUGH",39.35
"Baseline",5.50,4.20,"BEER-001047","Demo Beer Product #47","BEER",36.62,23.40,23.40,0.0,36.1,36.1,0.0,"ABSORB",36.62
"Crisis (+50%)",8.25,6.30,"BEER-001047","Demo Beer Product #47","BEER",36.62,23.40,27.24,16.4,36.1,25.6,10.5,"PARTIAL_PASS_THROUGH",38.93
"Moderate (+15%)",6.33,4.83,"BEER-001047","Demo Beer Product #47","BEER",36.62,23.40,24.55,4.9,36.1,33.0,3.2,"ABSORB",36.62
"Extreme (+75%)",9.63,7.35,"BEER-001047","Demo Beer Product #47","BEER",36.62,23.40,29.16,24.7,36.1,20.4,15.8,"FULL_REPRICE",41.52
"High Stress (+30%)",7.15,5.46,"BEER-001047","Demo Beer Product #47","BEER",36.62,23.40,25.70,9.9,36.1,29.8,6.3,"PARTIAL_PASS_THROUGH",38.00
"Baseline",5.50,4.20,"BEER-001048","Demo Beer Product #48","BEER",33.39,21.35,21.35,0.0,36.0,36.0,0.0,"ABSORB",33.39
"Crisis (+50%)",8.25,6.30,"BEER-001048","Demo Beer Product #48","BEER",33.39,21.35,24.92,16.7,36.0,25.4,10.7,"PARTIAL_PASS_THROUGH",35.53
"Moderate (+15%)",6.33,4.83,"BEER-001048","Demo Beer Product #48","BEER",33.39,21.35,22.43,5.0,36.0,32.8,3.2,"ABSORB",33.39
"Extreme (+75%)",9.63,7.35,"BEER-001048","Demo Beer Product #48","BEER",33.39,21.35,26.70,25.0,36.0,20.0,16.0,"FULL_REPRICE",37.94
"High Stress (+30%)",7.15,5.46,"BEER-001048","Demo Beer Product #48","BEER",33.39,21.35,23.49,10.0,36.0,29.6,6.4,"PARTIAL_PASS_THROUGH",34.67
"Baseline",5.50,4.20,"BEER-001049","Demo Beer Product #49","BEER",32.59,22.34,22.34,0.0,31.5,31.5,0.0,"ABSORB",32.59
"Crisis (+50%)",8.25,6.30,"BEER-001049","Demo Beer Product #49","BEER",32.59,22.34,26.02,16.5,31.5,20.2,11.3,"PARTIAL_PASS_THROUGH",34.80
"Moderate (+15%)",6.33,4.83,"BEER-001049","Demo Beer Product #49","BEER",32.59,22.34,23.45,5.0,31.5,28.1,3.4,"ABSORB",32.59
"Extreme (+75%)",9.63,7.35,"BEER-001049","Demo Beer Product #49","BEER",32.59,22.34,27.86,24.7,31.5,14.5,16.9,"FULL_REPRICE",37.28
"High Stress (+30%)",7.15,5.46,"BEER-001049","Demo Beer Product #49","BEER",32.59,22.34,24.55,9.9,31.5,24.7,6.8,"PARTIAL_PASS_THROUGH",33.91
"Baseline",5.50,4.20,"BEER-001050","Demo Beer Product #50","BEER",32.14,21.65,21.65,0.0,32.6,32.6,0.0,"ABSORB",32.14
"Crisis (+50%)",8.25,6.30,"BEER-001050","Demo Beer Product #50","BEER",32.14,21.65,25.05,15.7,32.6,22.1,10.6,"PARTIAL_PASS_THROUGH",34.18
"Moderate (+15%)",6.33,4.83,"BEER-001050","Demo Beer Product #50","BEER",32.14,21.65,22.67,4.7,32.6,29.5,3.2,"ABSORB",32.14
"Extreme (+75%)",9.63,7.35,"BEER-001050","Demo Beer Product #50","BEER",32.14,21.65,26.75,23.5,32.6,16.8,15.9,"FULL_REPRICE",36.47
"High Stress (+30%)",7.15,5.46,"BEER-001050","Demo Beer Product #50","BEER",32.14,21.65,23.69,9.4,32.6,26.3,6.3,"PARTIAL_PASS_THROUGH",33.36
"Baseline",5.50,4.20,"BEER-001051","Demo Beer Product #51","BEER",34.84,23.76,23.76,0.0,31.8,31.8,0.0,"ABSORB",34.84
"Crisis (+50%)",8.25,6.30,"BEER-001051","Demo Beer Product #51","BEER",34.84,23.76,27.42,15.4,31.8,21.3,10.5,"PARTIAL_PASS_THROUGH",37.03
"Moderate (+15%)",6.33,4.83,"BEER-001051","Demo Beer Product #51","BEER",34.84,23.76,24.86,4.6,31.8,28.6,3.2,"ABSORB",34.84
"Extreme (+75%)",9.63,7.35,"BEER-001051","Demo Beer Product #51","BEER",34.84,23.76,29.25,23.1,31.8,16.0,15.8,"FULL_REPRICE",39.51
"High Stress (+30%)",7.15,5.46,"BEER-001051","Demo Beer Product #51","BEER",34.84,23.76,25.96,9.2,31.8,25.5,6.3,"PARTIAL_PASS_THROUGH",36.16
"Baseline",5.50,4.20,"BEER-001052","Demo Beer Product #52","BEER",32.79,22.50,22.50,0.0,31.4,31.4,0.0,"ABSORB",32.79
"Crisis (+50%)",8.25,6.30,"BEER-001052","Demo Beer Product #52","BEER",32.79,22.50,26.38,17.2,31.4,19.6,11.8,"PARTIAL_PASS_THROUGH",35.12
"Moderate (+15%)",6.33,4.83,"BEER-001052","Demo Beer Product #52","BEER",32.79,22.50,23.66,5.2,31.4,27.8,3.6,"ABSORB",32.79
"Extreme (+75%)",9.63,7.35,"BEER-001052","Demo Beer Product #52","BEER",32.79,22.50,28.32,25.9,31.4,13.6,17.8,"FULL_REPRICE",37.74
"High Stress (+30%)",7.15,5.46,"BEER-001052","Demo Beer Product #52","BEER",32.79,22.50,24.82,10.3,31.4,24.3,7.1,"PARTIAL_PASS_THROUGH",34.19
"Baseline",5.50,4.20,"BEER-001053","Demo Beer Product #53","BEER",36.57,23.47,23.47,0.0,35.8,35.8,0.0,"ABSORB",36.57
"Crisis (+50%)",8.25,6.30,"BEER-001053","Demo Beer Product #53","BEER",36.57,23.47,27.36,16.6,35.8,25.2,10.6,"PARTIAL_PASS_THROUGH",38.90
"Moderate (+15%)",6.33,4.83,"BEER-001053","Demo Beer Product #53","BEER",36.57,23.47,24.64,5.0,35.8,32.6,3.2,"ABSORB",36.57
"Extreme (+75%)",9.63,7.35,"BEER-001053","Demo Beer Product #53","BEER",36.57,23.47,29.31,24.9,35.8,19.9,16.0,"FULL_REPRICE",41.53
"High Stress (+30%)",7.15,5.46,"BEER-001053","Demo Beer Product #53","BEER",36.57,23.47,25.80,9.9,35.8,29.4,6.4,"PARTIAL_PASS_THROUGH",37.97
"Baseline",5.50,4.20,"BEER-001054","Demo Beer Product #54","BEER",35.29,23.07,23.07,0.0,34.6,34.6,0.0,"ABSORB",35.29
"Crisis (+50%)",8.25,6.30,"BEER-001054","Demo Beer Product #54","BEER",35.29,23.07,27.10,17.4,34.6,23.2,11.4,"PARTIAL_PASS_THROUGH",37.71
"Moderate (+15%)",6.33,4.83,"BEER-001054","Demo Beer Product #54","BEER",35.29,23.07,24.28,5.3,34.6,31.2,3.4,"ABSORB",35.29
"Extreme (+75%)",9.63,7.35,"BEER-001054","Demo Beer Product #54","BEER",35.29,23.07,29.12,26.2,34.6,17.5,17.1,"FULL_REPRICE",40.43
"High Stress (+30%)",7.15,5.46,"BEER-001054","Demo Beer Product #54","BEER",35.29,23.07,25.49,10.5,34.6,27.8,6.8,"PARTIAL_PASS_THROUGH",36.74
"Baseline",5.50,4.20,"BEER-001055","Demo Beer Product #55","BEER",32.17,21.59,21.59,0.0,32.9,32.9,0.0,"ABSORB",32.17
"Crisis (+50%)",8.25,6.30,"BEER-001055","Demo Beer Product #55","BEER",32.17,21.59,25.07,16.1,32.9,22.1,10.8,"PARTIAL_PASS_THROUGH",34.26
"Moderate (+15%)",6.33,4.83,"BEER-001055","Demo Beer Product #55","BEER",32.17,21.59,22.64,4.9,32.9,29.6,3.3,"ABSORB",32.17
"Extreme (+75%)",9.63,7.35,"BEER-001055","Demo Beer Product #55","BEER",32.17,21.59,26.81,24.2,32.9,16.7,16.2,"FULL_REPRICE",36.61
"High Stress (+30%)",7.15,5.46,"BEER-001055","Demo Beer Product #55","BEER",32.17,21.59,23.68,9.7,32.9,26.4,6.5,"PARTIAL_PASS_THROUGH",33.42
"Baseline",5.50,4.20,"BEER-001056","Demo Beer Product #56","BEER",31.84,25.06,25.06,0.0,21.3,21.3,0.0,"ABSORB",31.84
"Crisis (+50%)",8.25,6.30,"BEER-001056","Demo Beer Product #56","BEER",31.84,25.06,29.28,16.8,21.3,8.1,13.2,"PARTIAL_PASS_THROUGH",34.37
"Moderate (+15%)",6.33,4.83,"BEER-001056","Demo Beer Product #56","BEER",31.84,25.06,26.33,5.1,21.3,17.3,4.0,"ABSORB",31.84
"Extreme (+75%)",9.63,7.35,"BEER-001056","Demo Beer Product #56","BEER",31.84,25.06,31.39,25.2,21.3,1.4,19.9,"FULL_REPRICE",37.22
"High Stress (+30%)",7.15,5.46,"BEER-001056","Demo Beer Product #56","BEER",31.84,25.06,27.59,10.1,21.3,13.4,7.9,"PARTIAL_PASS_THROUGH",33.36
"Baseline",5.50,4.20,"BEER-001057","Demo Beer Product #57","BEER",31.84,22.64,22.64,0.0,28.9,28.9,0.0,"ABSORB",31.84
"Crisis (+50%)",8.25,6.30,"BEER-001057","Demo Beer Product #57","BEER",31.84,22.64,26.40,16.6,28.9,17.1,11.8,"PARTIAL_PASS_THROUGH",34.10
"Moderate (+15%)",6.33,4.83,"BEER-001057","Demo Beer Product #57","BEER",31.84,22.64,23.77,5.0,28.9,25.4,3.6,"ABSORB",31.84
"Extreme (+75%)",9.63,7.35,"BEER-001057","Demo Beer Product #57","BEER",31.84,22.64,28.28,25.0,28.9,11.2,17.7,"FULL_REPRICE",36.64
"High Stress (+30%)",7.15,5.46,"BEER-001057","Demo Beer Product #57","BEER",31.84,22.64,24.89,10.0,28.9,21.8,7.1,"PARTIAL_PASS_THROUGH",33.19
"Baseline",5.50,4.20,"BEER-001058","Demo Beer Product #58","BEER",35.73,23.19,23.19,0.0,35.1,35.1,0.0,"ABSORB",35.73
"Crisis (+50%)",8.25,6.30,"BEER-001058","Demo Beer Product #58","BEER",35.73,23.19,26.98,16.3,35.1,24.5,10.6,"PARTIAL_PASS_THROUGH",38.00
"Moderate (+15%)",6.33,4.83,"BEER-001058","Demo Beer Product #58","BEER",35.73,23.19,24.33,4.9,35.1,31.9,3.2,"ABSORB",35.73
"Extreme (+75%)",9.63,7.35,"BEER-001058","Demo Beer Product #58","BEER",35.73,23.19,28.88,24.5,35.1,19.2,15.9,"FULL_REPRICE",40.57
"High Stress (+30%)",7.15,5.46,"BEER-001058","Demo Beer Product #58","BEER",35.73,23.19,25.46,9.8,35.1,28.7,6.4,"PARTIAL_PASS_THROUGH",37.09
"Baseline",5.50,4.20,"BEER-001059","Demo Beer Product #59","BEER",37.79,23.91,23.91,0.0,36.7,36.7,0.0,"ABSORB",37.79
"Crisis (+50%)",8.25,6.30,"BEER-001059","Demo Beer Product #59","BEER",37.79,23.91,27.42,14.7,36.7,27.4,9.3,"PARTIAL_PASS_THROUGH",39.89
"Moderate (+15%)",6.33,4.83,"BEER-001059","Demo Beer Product #59","BEER",37.79,23.91,24.97,4.4,36.7,33.9,2.8,"ABSORB",37.79
"Extreme (+75%)",9.63,7.35,"BEER-001059","Demo Beer Product #59","BEER",37.79,23.91,29.18,22.0,36.7,22.8,13.9,"FULL_REPRICE",42.26
"High Stress (+30%)",7.15,5.46,"BEER-001059","Demo Beer Product #59","BEER",37.79,23.91,26.02,8.8,36.7,31.2,5.6,"PARTIAL_PASS_THROUGH",39.05
"Baseline",5.50,4.20,"BEER-001060","Demo Beer Product #60","BEER",37.60,25.25,25.25,0.0,32.9,32.9,0.0,"ABSORB",37.60
"Crisis (+50%)",8.25,6.30,"BEER-001060","Demo Beer Product #60","BEER",37.60,25.25,29.49,16.8,32.9,21.6,11.3,"PARTIAL_PASS_THROUGH",40.15
"Moderate (+15%)",6.33,4.83,"BEER-001060","Demo Beer Product #60","BEER",37.60,25.25,26.53,5.1,32.9,29.5,3.4,"ABSORB",37.60
"Extreme (+75%)",9.63,7.35,"BEER-001060","Demo Beer Product #60","BEER",37.60,25.25,31.62,25.2,32.9,15.9,16.9,"FULL_REPRICE",43.02
"High Stress (+30%)",7.15,5.46,"BEER-001060","Demo Beer Product #60","BEER",37.60,25.25,27.79,10.1,32.9,26.1,6.8,"PARTIAL_PASS_THROUGH",39.13
"Baseline",5.50,4.20,"BEER-001061","Demo Beer Product #61","BEER",33.10,23.96,23.96,0.0,27.6,27.6,0.0,"ABSORB",33.10
"Crisis (+50%)",8.25,6.30,"BEER-001061","Demo Beer Product #61","BEER",33.10,23.96,27.59,15.1,27.6,16.7,11.0,"PARTIAL_PASS_THROUGH",35.28
"Moderate (+15%)",6.33,4.83,"BEER-001061","Demo Beer Product #61","BEER",33.10,23.96,25.05,4.6,27.6,24.3,3.3,"ABSORB",33.10
"Extreme (+75%)",9.63,7.35,"BEER-001061","Demo Beer Product #61","BEER",33.10,23.96,29.41,22.7,27.6,11.2,16.5,"FULL_REPRICE",37.73
"High Stress (+30%)",7.15,5.46,"BEER-001061","Demo Beer Product #61","BEER",33.10,23.96,26.14,9.1,27.6,21.0,6.6,"PARTIAL_PASS_THROUGH",34.41
"Baseline",5.50,4.20,"BEER-001062","Demo Beer Product #62","BEER",35.21,24.47,24.47,0.0,30.5,30.5,0.0,"ABSORB",35.21
"Crisis (+50%)",8.25,6.30,"BEER-001062","Demo Beer Product #62","BEER",35.21,24.47,28.42,16.2,30.5,19.3,11.2,"PARTIAL_PASS_THROUGH",37.58
"Moderate (+15%)",6.33,4.83,"BEER-001062","Demo Beer Product #62","BEER",35.21,24.47,25.66,4.9,30.5,27.1,3.4,"ABSORB",35.21
"Extreme (+75%)",9.63,7.35,"BEER-001062","Demo Beer Product #62","BEER",35.21,24.47,30.40,24.3,30.5,13.7,16.9,"FULL_REPRICE",40.25
"High Stress (+30%)",7.15,5.46,"BEER-001062","Demo Beer Product #62","BEER",35.21,24.47,26.84,9.7,30.5,23.8,6.7,"PARTIAL_PASS_THROUGH",36.63
"Baseline",5.50,4.20,"BEER-001063","Demo Beer Product #63","BEER",34.65,22.12,22.12,0.0,36.2,36.2,0.0,"ABSORB",34.65
"Crisis (+50%)",8.25,6.30,"BEER-001063","Demo Beer Product #63","BEER",34.65,22.12,26.12,18.1,36.2,24.6,11.5,"FULL_REPRICE",38.05
"Moderate (+15%)",6.33,4.83,"BEER-001063","Demo Beer Product #63","BEER",34.65,22.12,23.33,5.4,36.2,32.7,3.5,"ABSORB",34.65
"Extreme (+75%)",9.63,7.35,"BEER-001063","Demo Beer Product #63","BEER",34.65,22.12,28.12,27.1,36.2,18.8,17.3,"FULL_REPRICE",39.75
"High Stress (+30%)",7.15,5.46,"BEER-001063","Demo Beer Product #63","BEER",34.65,22.12,24.52,10.8,36.2,29.2,6.9,"PARTIAL_PASS_THROUGH",36.09
